"Украинский боксер Александр Усик рассказал, что рассматривает возможность проведения боя с британцем Тони Белью, и готов для этого перейти в другой вес. Об этом сообщает корреспондент «Ленты.ру». «Я слышал, что Тони Белью хотел сразиться с победителем этого боя в тяжелом весе. Он недавно очень красиво победил Дэвида Хэя. От этого, я думаю, можно начинать. Я готов. Если он не хочет опускаться в мой вес, то я поднимусь в его», — сказал он. При этом боксер отметил, что нужно все взвесить: «Конечно, мне хочется больше кушать риса и макарон, но, может, еще есть хорошие и денежные бои в текущем весе». Гассиев, в свою очередь, назвал свой проигрыш отличным опытом, позволившим увидеть свои слабые стороны. «Мы вернемся намного сильнее», — пообещал он. 22 июля Усик единогласным решением судей выиграл поединок из 12 раундов против россиянина  Мурата Гассиева. Украинец стал победителем Всемирной боксерской суперсерии, а также обладателем четырех чемпионских поясов по версиям Международной боксерской федерации (IBF) и Всемирной боксерской ассоциации (WBA), Всемирной боксерской организации (WBO) и Всемирного боксерского совета (WBC)."
"Израиль эвакуировал из Сирии активистов «Белых касок» вместе с их семьями по просьбе коалиции, возглавляемой США. Эту информацию в своем микроблоге в Twitter подтвердил пресс-секретарь израильского МИД Эммануэль Нахшон. «По просьбе США, Канады и европейских стран Израиль завершил гуманитарную операцию по спасению членов сирийской гражданской организации («Белые каски») и их семей», — написал он и уточнил, что людей перевезли в соседнюю страну. Так называемые «Белые каски» — базирующийся в Великобритании спасательный отряд, состоящий из сирийцев, которые прошли курсы специальной подготовки за рубежом, и существующий за счет дотаций со стороны стран Запада. Ранее эта организация именовалась как «Сирийская гражданская оборона». В российском МИД деятельность Белых касок посчитали элементом «информационной кампании по очернению правительства Сирии» и примером «информационной карусели»."
"Лондонский «Челси» отказался продать мадридскому «Реалу» полузащитника Эдена Азара. Об этом сообщает Mirror. По информации издания, «Королевский клуб» предлагал за футболиста, ставшего бронзовым призером чемпионата мира-2018 в составе сборной Бельгии, 170 миллионов фунтов (примерно 190 миллионов евро). Однако условия «Реала» были отвергнуты — новый главный тренер лондонцев Маурицио Сарри не хочет отпускать игрока. «Азар — один из лучших игроков Европы. Надеюсь, что смогу сделать его лучше, но это будет сложно — он уже достиг очень высокого уровня», — заявил Сарри. Отмечается, что «Челси» намерен предложить хавбеку улучшенный контракт. По нему зарплата Азара составит 300 тысяч фунтов (примерно 335 тысяч евро) в неделю. 27-летний Азар выступает за «Челси» с 2012 года. В составе «аристократов» бельгиец стал двукратным чемпионом Англии и победителем Лиги Европы."
"Вице-президент Федерации профессионального бокса России Андрей Рябинский прокомментировал заявление президента Украины Петра Порошенко, которое тот сделал после боя между россиянином Муратом Гассиевым и украинцем Александром Усиком. Об этом написал в своем микроблоге в Twitter. «Как же достали уже все переводить в политику! Идиотизм!» — возмутился он. Поединок закончился победой украинца по очкам. Порошенко посчитал победу спортсмена символом борьбы Украины. «Ни секунды не сомневался, что Саша победит! Украинский гимн, который прозвучал сегодня в Москве на весь мир, — это символ нашей борьбы, приближение нашей победы. Украина гордится тобой!» — объявил он. Усик стал победителем Всемирной боксерской суперсерии, а также обладателем четырех чемпионских поясов по версиям Международной боксерской федерации (IBF) и Всемирной боксерской ассоциации (WBA), Всемирной боксерской организации (WBO) и Всемирного боксерского совета (WBC)."
"Журнал Billboard опубликовал рейтинг самых высокооплачиваемых музыкальных исполнителей 2018 года. В список вошло 50 групп и сольных артистов. На первой строчке оказался ирландский коллектив U2, с начала года успевший заработать 54,4 миллиона долларов. Большую часть прибыли составил доход от концертного тура The Joshua Tree. Группа также стала лидером подобного рейтинга в 2017 году. На втором месте — американский исполнитель кантри-музыки Гарт Брукс. По подсчетам издания, он заработал 52,2 миллиона долларов. Замыкает тройку группа Metallica с доходом в 43,2 миллиона долларов. В рейтинг также попали такие артисты, как Бруно Марс, Эд Ширан, Леди Гага, Билли Джоэл, Guns N' Roses, Роджер Уотерс, Coldplay, The Weeknd, Кендрик Ламар, Red Hot Chili Peppers, JAY-Z и Пол Маккартни. Ранее в июле журнал Forbes опубликовал список из сотни финансово успешных знаменитостей. Голливудский актер Джордж Клуни стал самым высокооплачиваемым в мире актером, заработав за последний год 239 миллионов долларов."
"Бывшего участника сборной команды Актобе КВН Данияра Алимбаева смертельно ранили в городе Актау. Это произошло в ночь на 21 июля, артиста ударили ножом в ногу. От полученных ранений он скончался, передает местный портал «Лада». По словам друзей погибшего, около одного из местных баров произошла потасовка. «Данияр стоял в стороне, но и ему досталось. Один из обидчиков ударил ножом ему в ногу. Его отвезли в больницу, но врачи не смогли его спасти. Он потерял много крови», — рассказал друг погибшего. По факту случившегося ведется расследование, задержаны трое подозреваемых, они местные жители. 32-летний Алимбаев выступал в сборной команды Актобе по КВН. У него остались жена и четверо детей. При схожих обстоятельствах погиб призер Олимпийских игр в Сочи фигурист Денис Тен. Фигурист получил ранение бедра, когда пытался остановить неизвестных, снимавших зеркала с его автомобиля в центре Алма-Аты. Спортсмен в тяжелом состоянии был доставлен в больницу, однако врачам не удалось его спасти — Тен потерял три литра крови."
"Великобритания откажется от выплат отступных Евросоюзу в случае, если Брюссель не согласится на новое торговое соглашение после «развода» с ЕС. Об этом в интервью газете The Telegraph заявил новый министр по вопросам Brexit Доминик Рааб. «Договор о Евросоюзе гласит, чтобы по ходу переговоров о выходе из ЕС также были решены вопросы по параметрам будущих отношений. Не может быть так, что одна сторона выполняет свои обязательства по сделке, а другая — нет», — сказал он. По нынешним договоренностям, Великобритания должна будет выплатить Евросоюзу 39 миллиардов фунтов (51 миллиард евро) за выход из надгосударственного объединения. Предыдущий министр по вопросам Brexit Дэвид Дэвис покинул свой пост из-за несогласия с действиями премьер-министра Терезы Мэй, требуя более жесткого сценария выхода страны из надгосударственного объединения. Вместе с ним ушел в отставку глава Форин Офиса Борис Джонсон. Последний заявил, что нынешняя политика Лондона приведет страну к «полубрекзиту, который разорвет экономику Великобритании в рамках торгового соглашения с ЕС без возможности государства повлиять на ситуацию». Мэй является сторонницей «мягкого для бизнеса» решения вопроса. Референдум о выходе Великобритании из Евросоюза состоялся 23 июня 2016 года. Большинство проголосовавших приняли решение поддержать выход страны из ЕС. Изначально планировалось, что переходный период, после которого страна окончательно покинет Европейский союз, продлится до 2020 года. Однако впоследствии появилась информация о том, что британский премьер-министр Тереза Мэй может попросить Евросоюз продлить его до 2022 года. Поводом для этого остается граница между членом ЕС Ирландией и Северной Ирландией, входящей в состав Великобритании."
"Талисманы Олимпийских и Паралимпийских игр в Токио в 2020 году получили имена. Об этом сообщается на сайте оргкомитета игр. Для талисмана Олимпийских игр в Токио было выбрано имя «Мирайтова». Оно основано на японских словах «мирай» (будущее) и «това» (вечность). Это существо в сине-белую клетку, повторяющую узор на эмблеме токийских игр. Символом Паралимпиады-2020 станет похожее бело-розовое существо по имени «Сомэйти» — по названию популярного сорта сакуры, к тому же созвучное с английским «so mighty» (такой могучий). Сами талисманы были представлены публике в феврале, их выбирали младшеклассники со всей Японии. Олимпийские игры пройдут в Токио с 24 июля по 9 августа, а Паралимпиада — с 25 августа по 6 сентября 2020 года."
"Около российской базы Хмеймим в Сирии произошло две атаки с использованием беспилотных аппаратов. Беспилотники дважды приближались к авиабазе за выходные, они были уничтожены средствами ПВО. Об этом сообщает РИА Новости со ссылкой на представителя базы. «В воскресенье утром 22 июля 2018 года дежурными средствами ПВО также на удалении от аэродрома был уничтожен неизвестный БПЛА, приближавшийся к авиабазе ""Хмеймим"" с северо-западного направления», — рассказал он. О первой атаке стало известно в субботу. БПЛА был запущен в ночь на 21 июля с территории, подконтрольной незаконным вооруженным формированиям. В обоих случаях пострадавших нет, авиабаза работает в плановом режиме. Ранее 21 июля сообщалось, что российские и сирийские военные готовят широкомасштабную совместную операцию на севере провинции Латакия в ответ на атаку российской авиабазы Хмеймим 16 июля. "
"Президент Украины Петр Порошенко поздравил боксера Александра Усика с победой в бою против россиянина Мурата Гассиева. Об этом он написал в своем Twitter. «Ни секунды не сомневался, что Саша победит! Украинский гимн, который прозвучал сегодня в Москве на весь мир, — это символ нашей борьбы, приближение нашей победы. Украина гордится тобой! Поздравляю с победой, чемпион!», — написал он сразу после объявления решений судей. Ранее 22 июля Усик единогласным решением судей выиграл поединок из 12 раундов. Украинец стал победителем Всемирной боксерской суперсерии, а также обладателем четырех чемпионских поясов по версиям Международной боксерской федерации (IBF) и Всемирной боксерской ассоциации (WBA), Всемирной боксерской организации (WBO) и Всемирного боксерского совета (WBC)."
"Следственный комитет не подтвердил информацию о задержании первого подозреваемого по делу о пытках в колонии №1 Ярославской области. Об этом сообщает корреспондент «Ленты.ру». «По состоянию на 23:00 мск задержанных по данному делу нет, продолжаются следственные действия в рамках возбужденного 20 июля уголовного дела о превышении должностных полномочий лицами из числа сотрудников УФСИН по Ярославской области», — сообщили в ведомстве. В ночь на 22 июля правозащитный фонд «Общественный вердикт» сообщил, что начались аресты по делу о пытках заключенного. В частности, одного из подозреваемых заметили выходящим из колонии в наручниках. При этом в организации не представили источник информации. 20 июля в сети появилась видеозапись, на которой сотрудники исправительной колонии №1 в Ярославской области устроили жестокую пытку для одного из заключенных."
"Министр экономики и финансов Франции Бруно Ле Мэр заявил об уже идущей торговой войне между США и Старым Светом. Об этом сообщает Reuters. «Все в G20 осознают, что торговая война — реальность, которая является угрозой для мирового роста экономики, — заявил он. — Я прошу США включить здравый смысл и уважать правила и своих союзников». Министр добавил, что пока в Белом доме не сделают первый шаг, «речи об официальном предложении со стороны Еврокомиссии по торговому диалогу быть не может — у Европы не останется другого выхода, кроме введения ответных мер». 21 июля директор-распорядитель Международного валютного фонда Кристин Лагард в ходе встречи с министрами финансов и главами центральных банков стран G-20 в Буэнос-Айресе заявила, что начатая Вашингтоном торговая война может серьезно повлиять на темпы роста мировой экономики. Пошлины и тарифы США «безусловно оказывают влияние, и при худшем сценарии могут привести к снижению глобального ВВП на 0,5 процента». Торговое противостояние двух крупнейших экономик планеты началось в конце 2017 года, когда Трамп одобрил введение первых заградительных мер в отношении китайских товаров. В дальнейшем протекционистские меры в отношении Китая, а также Европы, России и всего мира только расширялись, что привело к развязыванию полномасштабной торговой войны."
"Российский боксер Мурат Гассиев проиграл украинцу Александру Усику в финале Всемирной боксерской суперсерии. Об этом сообщает корреспондент «Ленты.ру». Поединок прошел вечером в субботу, 21 июля, в Москве и продлился все 12 раундов. По решению судей победу одержал Усик (120:108, 119:109, 119:109). Таким образом, украинец стал победителем Всемирной боксерской суперсерии, а также обладателем четырех чемпионских поясов по версиям Международной боксерской федерации (IBF) и Всемирной боксерской ассоциации (WBA), Всемирной боксерской организации (WBO) и Всемирного боксерского совета (WBC). Усик за свою карьеру провел 15 поединков, выиграв каждый из них. На счету украинца 11 побед нокаутом. Гассиев потерпел первое поражение в 27 поединках. 19 побед Гассиев одержал нокаутом."
"Американский актер Энтони Андерсон находится под следствием по подозрению в нападении. Об этом сообщает телеканал ABC News. «У нас есть сообщение о преступлении, в котором артист значится подозреваемым», — рассказал представитель правоохранительных органов, добавив, что в настоящее время проводится расследование. Заявление в отношении 47-летнего Андерсона подала женщина, утверждающая, что актер напал на нее более года назад. По ее словам, инцидент произошел во время деловой встречи. Представитель актера рассказал телеканалу, что его клиент отвергает все обвинения. Он добавил. что представители властей не связывались с подозреваемым или кем-либо из его представителей. «К сожалению, любой может подать заявление, вне зависимости от того, сколько в нем правды», — отметил он. Энтони Андерсон сыграл около 80 ролей в сериалах и фильмах, среди которых «Я, снова я и Ирэн», «Трансформеры» и «Очень страшное кино 3». В 2015 году он завоевал премию «Image Awards» в категории «Лучший актер комедийного сериала» («Черноватый»). В 2015 и 2016 годах он был номинирован на премию «Эмми», в 2017 году — на премию «Золотой глобус». Он женат с 1995 года, воспитывает двоих детей. "
"Россиянин Алексей Макеев, обвиняемый властями Мексики в причинении смерти жителю города Канкун, поучаствовал в тюремной театральной постановке. Об этом пишет El Universal. Более известный как «русский лорд-наци», Макеев сыграл священника в спектакле «Мифы, смуты и баламуты» о завоевании Америки испанцами. Перед публикой он предстал похудевшим, коротко стриженым, в монашеской рясе и с крестом в руках. В мае 2017 года несколько сотен человек окружили дом Макеева и напали на него. Один мексиканец был ранен и умер после нападения, сам россиянин получил тяжелые травмы. В ночь на 30 мая Макеев после отказа от операций был выписан из больницы и помещен под стражу, однако позже его вернули в больницу. Агрессию местных жителей Макеев вызвал тем, что без повода оскорблял людей на улицах, в том числе женщин и детей, записывал свои действия на видео и выкладывал в интернет. Во многих роликах он оскорблял мексиканцев по расовому признаку, махал мачете и демонстрировал свастику на голове, за что и получил свое прозвище. В настоящее время Макеев ждет приговора суда, который должен решить, является ли смерть местного жителя от рук россиянина злым умыслом или же он действовал в рамках самообороны."